slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material,movement_type,history,event_date,landslide,label,lat_grid,lon_grid,historical_landslide_density,elevation_m,slope_deg,aspect_deg,rain_30min,rain_3h,rain_24h,rain_24h_mm,rain_72h_mm,rain_7d,rain_7d_mm,satellite_change_proxy,rainfall_1d,rainfall_available,year,month,day_of_year,monsoon_season
ASM/HLKD/83D10/2016/58,Assam,Hailakandi,Terracherra Slide,Terracherra area,24.478972,92.682861,Debris,Slide,17 May 2016,2016-05-17,1,1,24.4,92.6,0.83,56.0,7.44,204.5,0.3,5.5,23.0,23.0,36.6,81.8,81.8,0.45,23.0,1,2016,5,138,0
ASM/HLKD/83D10/2016/59,Assam,Hailakandi,Lalcherra Slide (Rabinala),Near Patakhouri Durga Mandir Under Bilaipur Forest Village; Lala Police Station,24.511306,92.693028,Debris,Slide,18 May 2016,2016-05-18,1,1,24.5,92.6,4.17,39.0,1.75,143.9,0.45,4.0,28.0,28.0,56.5,109.8,109.8,0.45,28.0,1,2016,5,139,0
ASM/HLKD/83D10/2016/60,Assam,Hailakandi,Ramchandi (Koyabasti),Ramchandi area,24.515944,92.540889,Earth/Soil,Slide,18 May 2016,2016-05-18,1,1,24.5,92.5,1.67,41.0,3.88,323.3,0.5,3.5,31.7,31.7,70.4,125.4,125.4,0.45,31.7,1,2016,5,139,0
AS/CAC/83D10/2009-10/AS-1,Assam,Cachar,Palgana slide,Paglagaon (near Mursabarti) under Baghbahar GP part 3,24.57025,92.685,Debris,Slide,02 April 2010,2010-04-02,1,1,24.5,92.6,4.17,43.0,6.74,15.5,0.0,0.0,8.6,8.6,200.0,314.8,314.8,0.45,8.6,1,2010,4,92,0
ASM/CCR/83H2/2016/66,Assam,Cachar,Khasiapunji slide,Khasiapunji village,24.645417,93.005361,Debris,Slide,31 August 2016,2016-08-31,1,1,24.6,93.0,0.83,359.0,22.85,149.1,0.25,1.0,8.7,8.7,18.2,48.2,48.2,0.45,8.7,1,2016,8,244,1
ASM/KRGJ/83D06/2016/61,Assam,Karimganj,Rakhalbasti,"Rakhalbasti, near Sonaicherra TG. Under Ram Krishna",24.659389,92.497361,Earth/Soil,Slide,18 May 2016,2016-05-18,1,1,24.6,92.4,0.83,24.0,2.57,174.2,0.35,4.3,55.8,55.8,119.8,190.8,190.8,0.45,55.8,1,2016,5,139,0
ASM/HLK/83D10/2020/004,Assam,Hailakandi,Mohanpur Grant Slide 2,"Mohanpur Grant, Hailakandi Circle.",24.70656,92.65008,Debris,Slide,02 June 2020,2020-06-02,1,1,24.7,92.6,2.5,47.0,5.77,78.7,0.35,1.5,15.8,15.8,35.2,228.4,228.4,0.45,15.8,1,2020,6,154,1
AS/KAR/83D06/2009-10/AS-2,Assam,Karimganj,Rongpur slide,Rongpur Village,24.710833,92.481167,Debris,Slide,03 June 2010,2010-06-03,1,1,24.7,92.4,2.5,34.0,11.5,228.8,0.0,0.1,5.7,5.7,36.4,203.3,203.3,0.45,5.7,1,2010,6,154,1
ASM/CHR/83D14/2020/0002,Assam,Cachar,Govindnagar Slide,"Govindnagar Pt. II, Sonai",24.72192,92.90381,Debris,Slide,05 June 2020,2020-06-05,1,1,24.7,92.9,0.83,35.0,6.84,214.3,0.05,0.1,3.5,3.5,35.3,85.0,85.0,0.45,3.5,1,2020,6,157,1
ASM/HLK/83D10/2020/005,Assam,Hailakandi,Mohanpur Grant Slide 3,"Mohanpur Grant, Hailakandi Circle.",24.73117,92.64739,Debris,Slide,02 June 2020,2020-06-02,1,1,24.7,92.6,2.5,24.0,1.65,290.2,0.35,1.5,15.8,15.8,35.2,228.4,228.4,0.45,15.8,1,2020,6,154,1
ASM/KGJ/83D05/2020/0008,Assam,Karimganj,Karimpur Slide 2,"Karimpur, Nilam Bazar",24.78002778,92.45372222,Earth/Soil,Slide,02 June 2020,2020-06-02,1,1,24.7,92.4,2.5,52.0,3.11,84.8,0.35,2.0,21.3,21.3,39.1,231.3,231.3,0.45,21.3,1,2020,6,154,1
