slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material,movement_type,history,event_date,landslide,label
ASM/HLKD/83D10/2016/58,Assam,Hailakandi,Terracherra Slide,Terracherra area,24.478972,92.682861,Debris,Slide,17 May 2016,2016-05-17,1,1
ASM/HLKD/83D10/2016/59,Assam,Hailakandi,Lalcherra Slide (Rabinala),Near Patakhouri Durga Mandir Under Bilaipur Forest Village; Lala Police Station,24.511306,92.693028,Debris,Slide,18 May 2016,2016-05-18,1,1
ASM/HLKD/83D10/2016/60,Assam,Hailakandi,Ramchandi (Koyabasti),Ramchandi area,24.515944,92.540889,Earth/Soil,Slide,18 May 2016,2016-05-18,1,1
AS/CAC/83D10/2009-10/AS-1,Assam,Cachar,Palgana slide,Paglagaon (near Mursabarti) under Baghbahar GP part 3,24.57025,92.685,Debris,Slide,02 April 2010,2010-04-02,1,1
ASM/CCR/83H2/2016/66,Assam,Cachar,Khasiapunji slide,Khasiapunji village,24.645417,93.005361,Debris,Slide,31 August 2016,2016-08-31,1,1
ASM/KRGJ/83D06/2016/61,Assam,Karimganj,Rakhalbasti,"Rakhalbasti, near Sonaicherra TG. Under Ram Krishna",24.659389,92.497361,Earth/Soil,Slide,18 May 2016,2016-05-18,1,1
ASM/HLK/83D10/2020/004,Assam,Hailakandi,Mohanpur Grant Slide 2,"Mohanpur Grant, Hailakandi Circle.",24.70656,92.65008,Debris,Slide,02 June 2020,2020-06-02,1,1
AS/KAR/83D06/2009-10/AS-2,Assam,Karimganj,Rongpur slide,Rongpur Village,24.710833,92.481167,Debris,Slide,03 June 2010,2010-06-03,1,1
ASM/CHR/83D14/2020/0002,Assam,Cachar,Govindnagar Slide,"Govindnagar Pt. II, Sonai",24.72192,92.90381,Debris,Slide,05 June 2020,2020-06-05,1,1
ASM/HLK/83D10/2020/005,Assam,Hailakandi,Mohanpur Grant Slide 3,"Mohanpur Grant, Hailakandi Circle.",24.73117,92.64739,Debris,Slide,02 June 2020,2020-06-02,1,1
ASM/KGJ/83D05/2020/0008,Assam,Karimganj,Karimpur Slide 2,"Karimpur, Nilam Bazar",24.78002778,92.45372222,Earth/Soil,Slide,02 June 2020,2020-06-02,1,1
ASM/KGJ/83D05/2020/007,Assam,Karimganj,Karimpur Slide 1,"Karimpur, Nilam Bazar",24.78380556,92.45563889,Earth/Soil,Slide,02 June 2020,2020-06-02,1,1
ASM/HLK/83D09/2020/006,Assam,Hailakandi,Chandipur Grant Slide,"Bowarthar, Chandipur, Algapur Circle.",24.79489,92.55506,Debris,Slide,02 June 2020,2020-06-02,1,1
ASM/CHR/83H01/2020/001,Assam,Cachar,Kanakpur Slide,"Kanakpur Pt. III, Lakhipur, Joypur",24.92097,93.07306,Earth/Soil,Slide,02 June 2020,2020-06-02,1,1
AS/NC/83C16/2009-10/AS-4,Assam,Dima Hasao,Mailongdisa-Harangajao slide,Between Mailongdisa and Harangajao Railway stations. CHainage:128.400 km to 128.600 km,25.121,92.915028,Debris,Slide,20 June 2010,2010-06-20,1,1
AS/NC/83C16/2009-10/AS-5,Assam,Dima Hasao,Mailongdisa-Harangajao-2 slide,Between Mailongdisa and Harangajao railway station (Chainage: 130.100 Km to 130.400 Km),25.124306,92.904278,Debris,Slide,02 April 2010,2010-04-02,1,1
AS/NC/83C16/2009-10/AS-3,Assam,Dima Hasao,Jatinga-Longrangajao slide,Between Jatinga and Longrangajao Railway stations (Chainage:120.100 km to 120.400 km),25.124583,92.989111,Debris,Slide,16 June 2010,2010-06-16,1,1
AS/DH/83C16/2018/002,Assam,Dima Hasao,Jatinga Lampur landslide.,Between Jatinga Lampur Railway Station and Harangajao Railway Station.,25.146306,93.942167,Debris,Slide,14 June 2018,2018-06-14,1,1
AS/DH/83G04/2018/003,Assam,Dima Hasao,Phiding slide,"Near Phiding Railway Station. Between Mahur and Phiding RS, NFR.",25.224278,93.222861,Debris,Slide,14 June 2018,2018-06-14,1,1
AS/NC/83G04/2009-10/AS-6,Assam,Dima Hasao,Mahur-Wadringdisa slide,,25.229556,93.1556,Debris,Slide,02 April 2010,2010-04-02,1,1
AS/DH/83G04/2018/004,Assam,Dima Hasao,Dautohaja Tunnel No. 3 slide.,"Between Phiding and Dautohaja Railway Station, NFR.",26.098167,91.881278,Debris,Slide,14 June 2018,2018-06-14,1,1
AS/DH/83C16/2018/001,Assam,Dima Hasao,Bandarkhal landslide.,Between NFR Bridge No. 305 and Tunnel No. 19 (~2 km SW of Bandarkhal Railway Station).,26.11,94.76,Debris,Slide,14 June 2018,2018-06-14,1,1
AS/KRP/78N16/2018/001,Assam,Kamrup,Shankardev Nagar slide,NH37 towards Shillong.,26.112667,91.853889,Debris,Slide,24 August 2018,2018-08-24,1,1
ASM/KMP/78N16/2017/03,Assam,Kamrup (Metro),Anandapur-Gangapur slide,Hengrabari,26.15428,91.79264,Debris,Slide,13 June 2017,2017-06-13,1,1
ASM/KMP/78N16/2017/05,Assam,Kamrup (Metro),Dakshin Saraniya-1,Ganpat Mandir road,26.17672,91.76525,Debris,Slide,13 June 2017,2017-06-13,1,1
ASM/KMP/78N16/2017/0004,Assam,Kamrup (Metro),Dakshin Saraniya-2,Ganpat Mandir road,26.17756,91.76589,Debris,Slide,13 June 2017,2017-06-13,1,1
ASM/KMP/78N16/2017/06,Assam,Kamrup (Metro),Bonda-Hajongdisa slide,Tuinang colony,26.18842,91.85125,Earth/Soil,Slide,16 June 2017,2017-06-16,1,1
ASM/KAM/78N16/2017/08,Assam,Kamrup (Metro),Bonda colony slide no. 2,"Babubasti–Panikhaiti road section/Bonda colony, Amgaon",26.19081,91.84528,Earth/Soil,Slide,04 July 2017,2017-07-04,1,1
